YEAROCC,Violence,Property,Homicide,Assaults,Robbery,Shootings,Burglary,MV Theft,Rape,Weapons,Drugs,Sex,y,x
2005.0,,1.0,,,,,,,,,,,37.790411,-122.227597
2005.0,,1.0,,,,,,1.0,,,,,37.728462,-122.183761
2005.0,,1.0,,,,,,,,,,,37.733999,-122.176575
2005.0,,1.0,,,,,,1.0,,,,,37.740702,-122.18518700000001
2005.0,,1.0,,,,,,1.0,,,,,37.742778,-122.16423700000001
2005.0,,1.0,,,,,,1.0,,,,,37.744198,-122.157546
2005.0,,1.0,,,,,,,,,,,37.75165,-122.20545200000001
2005.0,1.0,,,1.0,,1.0,,,,,,,37.762033,-122.19728799999999
2005.0,,1.0,,,,,1.0,,,,,,37.762492,-122.21791200000001
2005.0,,1.0,,,,,,,,,,,37.744878,-122.19588700000001
2005.0,,1.0,,,,,,,,,,,37.74438,-122.17102
2005.0,,1.0,,,,,,1.0,,,,,37.74653,-122.1724
2005.0,,1.0,,,,,,1.0,,,,,37.747372,-122.17545700000001
2005.0,,1.0,,,,,1.0,,,,,,37.748822,-122.177314
2005.0,,1.0,,,,,,1.0,,,,,37.74824,-122.17366000000001
2005.0,,1.0,,,,,,1.0,,,,,37.750679999999996,-122.179449
2005.0,,1.0,,,,,,1.0,,,,,37.751891,-122.171568
2005.0,,1.0,,,,,,1.0,,,,,37.755299,-122.168605
2005.0,,1.0,,,,,,1.0,,,,,37.757464,-122.175625
2005.0,,1.0,,,,,1.0,,,,,,37.759105,-122.18324799999999
2005.0,,1.0,,,,,,1.0,,,,,37.76012,-122.19626799999999
2005.0,,1.0,,,,,,1.0,,,,,37.76202,-122.185
2005.0,1.0,,,1.0,,,,,,,,,37.764199,-122.186062
2005.0,,1.0,,,,,,1.0,,,,,37.764631,-122.184101
2005.0,1.0,,,1.0,,1.0,,,,,,,37.768427,-122.198664
2005.0,,1.0,,,,,,,,,,,37.773663,-122.224893
2005.0,1.0,,,1.0,,1.0,,,,,,,37.781627,-122.218877
2005.0,,1.0,,,,,,1.0,,,,,37.782216,-122.224092
2005.0,1.0,,,1.0,,1.0,,,,,,,37.790869,-122.212093
2005.0,,1.0,,,,,,,,,,,37.769878000000006,-122.170647
2005.0,,1.0,,,,,,1.0,,,,,37.771267,-122.17286299999999
2005.0,,1.0,,,,,1.0,,,,,,37.775433,-122.178835
2005.0,,1.0,,,,,1.0,,,,,,37.78752,-122.18221000000001
2005.0,,1.0,,,,,,1.0,,,,,37.789318,-122.18279799999999
2005.0,,1.0,,,,,1.0,,,,,,37.753285,-122.16325800000001
2005.0,1.0,,,,1.0,,,,,,,,37.764237,-122.16565800000001
2005.0,,1.0,,,,,,1.0,,,,,37.772627,-122.147529
2005.0,,1.0,,,,,,1.0,,,,,37.771971,-122.162135
2005.0,,1.0,,,,,,1.0,,,,,37.771971,-122.162135
2005.0,,1.0,,,,,,,,,,,37.771515,-122.148693
2005.0,,1.0,,,,,1.0,,,,,,37.795584000000005,-122.27088300000001
2005.0,,1.0,,,,,,1.0,,,,,37.800622,-122.231575
2005.0,1.0,,,,1.0,,,,,,,,37.800756,-122.24501399999998
2005.0,,1.0,,,,,,,,,,,37.80211,-122.252201
2005.0,,1.0,,,,,,,,,,,37.801992999999996,-122.265235
2005.0,,1.0,,,,,,1.0,,,,,37.805732,-122.28993899999999
2005.0,1.0,,,,1.0,,,,,,,,37.806897,-122.275028
2005.0,,1.0,,,,,,,,,,,37.807796999999994,-122.29345500000001
2005.0,1.0,,,1.0,,1.0,,,,,,,37.80983,-122.29859099999999
2005.0,,1.0,,,,,,,,,,,37.8174,-122.273316
2005.0,,1.0,,,,,1.0,,,,,,37.818807,-122.289437
2005.0,,1.0,,,,,,,,,,,37.822753000000006,-122.255182
2005.0,,1.0,,,,,,1.0,,,,,37.823031,-122.27772900000001
2005.0,1.0,,,,1.0,,,,,,,,37.827016,-122.253111
2005.0,,1.0,,,,,1.0,,,,,,37.82821,-122.26935
2005.0,1.0,,,,1.0,,,,,,,,37.829375,-122.250624
2005.0,,1.0,,,,,,1.0,,,,,37.833529999999996,-122.27078
2005.0,,1.0,,,,,1.0,,,,,,37.833776,-122.25625
2005.0,,1.0,,,,,1.0,,,,,,37.833776,-122.25625
2005.0,,1.0,,,,,,,,,,,37.834595,-122.249725
2005.0,,1.0,,,,,1.0,,,,,,37.842977000000005,-122.28628400000001
2005.0,,1.0,,,,,1.0,,,,,,37.843009,-122.285375
2005.0,,1.0,,,,,,1.0,,,,,37.846262,-122.26171399999998
2005.0,,1.0,,,,,,,,,,,37.85838,-122.23539
2005.0,,1.0,,,,,1.0,,,,,,37.85843,-122.23942
2005.0,,1.0,,,,,,,,,,,37.79327,-122.219381
2005.0,,1.0,,,,,,,,,,,37.801238,-122.215046
2005.0,,1.0,,,,,1.0,,,,,,37.812857,-122.218428
2005.0,,1.0,,,,,,1.0,,,,,37.83153,-122.19985
2005.0,,1.0,,,,,,,,,,,37.833740999999996,-122.192462
2005.0,1.0,,,1.0,,,,,,,,,37.7621,-122.182
2005.0,1.0,,,1.0,,,,,,,,,37.8078,-122.26899999999999
2005.0,,1.0,,,,,,1.0,,,,,37.83643,-122.266329
2005.0,1.0,,,1.0,,,,,,,,,37.8078,-122.26899999999999
2005.0,1.0,,,1.0,,,,,,,,,37.7674,-122.167
2005.0,1.0,,,1.0,,,,,,,,,37.7393,-122.169
2005.0,1.0,,,,1.0,,,,,,,,37.791245,-122.250372
2005.0,1.0,,,,1.0,,,,,,,,37.791245,-122.250372
2005.0,,1.0,,,,,,,,,,,37.81511,-122.30708
2005.0,,1.0,,,,,,1.0,,,,,37.787495,-122.23714199999999
2005.0,1.0,,,,1.0,,,,,,,,37.790514,-122.24619299999999
2005.0,,1.0,,,,,,,,,,,37.809886999999996,-122.28741000000001
2005.0,,1.0,,,,,,1.0,,,,,37.734801000000004,-122.17347
2005.0,,1.0,,,,,,,,,,,37.735733,-122.181476
2005.0,,1.0,,,,,,,,,,,37.76716,-122.20986
2005.0,,1.0,,,,,,1.0,,,,,37.745126,-122.17236100000001
2005.0,,1.0,,,,,,,,,,,37.747037,-122.179979
2005.0,,1.0,,,,,,,,,,,37.747485,-122.179915
2005.0,,1.0,,,,,,1.0,,,,,37.748162,-122.183523
2005.0,,1.0,,,,,,,,,,,37.751692,-122.173404
2005.0,,1.0,,,,,1.0,,,,,,37.756178000000006,-122.18605
2005.0,1.0,,,1.0,,1.0,,,,,,,37.756776,-122.193509
2005.0,,1.0,,,,,,,,,,,37.759949,-122.16671200000002
2005.0,1.0,,,,1.0,,,,,,,,37.766523,-122.177683
2005.0,,1.0,,,,,,1.0,,,,,37.76661,-122.17832
2005.0,,1.0,,,,,,1.0,,,,,37.767433000000004,-122.22530800000001
2005.0,,1.0,,,,,1.0,,,,,,37.77035,-122.211
2005.0,1.0,,,1.0,,1.0,,,,,,,37.772052,-122.204816
2005.0,,1.0,,,,,,1.0,,,,,37.773656,-122.22048899999999
2005.0,1.0,,,1.0,,1.0,,,,,,,37.779123,-122.21646100000001
2005.0,,1.0,,,,,,1.0,,,,,37.784933,-122.197499
2005.0,,1.0,,,,,,,,,,,37.787995,-122.20581000000001
2005.0,,1.0,,,,,,1.0,,,,,37.789727,-122.18359099999999
2005.0,,1.0,,,,,,1.0,,,,,37.746919,-122.150705
2005.0,,1.0,,,,,1.0,,,,,,37.754108,-122.165333
2005.0,,1.0,,,,,,1.0,,,,,37.756043,-122.163105
2005.0,,1.0,,,,,1.0,,,,,,37.760405,-122.164225
