YEAROCC,Violence,Property,Homicide,Assaults,Robbery,Shootings,Burglary,MV Theft,Rape,Weapons,Drugs,Sex,y,x
2007.0,,1.0,,,,,1.0,,,,,,37.776621999999996,-122.234839
2007.0,,1.0,,,,,,1.0,,,,,37.782886,-122.227667
2007.0,,1.0,,,,,1.0,,,,,,37.784698999999996,-122.236535
2007.0,,,,,,,,,,,1.0,,37.787304,-122.237963
2007.0,,,,,,,,,,,1.0,,37.787304,-122.237963
2007.0,,,,,,,,,,,1.0,,37.78792,-122.234604
2007.0,,1.0,,,,,,,,,,,37.733183000000004,-122.180053
2007.0,,1.0,,,,,,1.0,,,,,37.739428000000004,-122.186884
2007.0,,1.0,,,,,,,,,,,37.741484,-122.16831
2007.0,,1.0,,,,,,1.0,,,,,37.741484,-122.16831
2007.0,1.0,,,1.0,,1.0,,,,,,,37.744885,-122.195493
2007.0,,1.0,,,,,,,,,,,37.744885,-122.195493
2007.0,,1.0,,,,,,1.0,,,,,37.746349,-122.176493
2007.0,,1.0,,,,,,1.0,,,,,37.751508,-122.17015400000001
2007.0,,1.0,,,,,,1.0,,,,,37.75173,-122.17622
2007.0,,1.0,,,,,1.0,,,,,,37.761331,-122.17983999999998
2007.0,,1.0,,,,,,,,,,,37.766523,-122.177683
2007.0,,1.0,,,,,,1.0,,,,,37.766523,-122.177683
2007.0,,1.0,,,,,,,,,,,37.767259,-122.19478400000001
2007.0,1.0,,1.0,,,,,,,,,,37.769656,-122.211824
2007.0,,1.0,,,,,,,,,,,37.770441,-122.210705
2007.0,,1.0,,,,,,1.0,,,,,37.770441,-122.210705
2007.0,,1.0,,,,,,,,,,,37.774661,-122.20825
2007.0,1.0,,,1.0,,1.0,,,,,,,37.776018,-122.214375
2007.0,1.0,,,,1.0,,,,,,,,37.776018,-122.214375
2007.0,,1.0,,,,,,,,,,,37.778683,-122.19865800000001
2007.0,1.0,,,,1.0,,,,,,,,37.78382,-122.22158400000001
2007.0,,1.0,,,,,,,,,,,37.784227,-122.21673999999999
2007.0,,1.0,,,,,,1.0,,,,,37.784227,-122.21673999999999
2007.0,1.0,,,1.0,,,,,,,,,37.769213,-122.181142
2007.0,1.0,,,1.0,,,,,,,,,37.769462,-122.17508000000001
2007.0,1.0,,,1.0,,1.0,,,,,,,37.775414000000005,-122.185355
