,YEAROCC,Violence,Property,Homicide,Assaults,Robbery,Shootings,Burglary,MV Theft,Rape,Weapons,Drugs,Sex,y,x
292734,2006.0,,1.0,,,,,1.0,,,,,,37.786512,-122.23171599999999
292735,2006.0,,1.0,,,,,,1.0,,,,,37.732738,-122.173702
292736,2006.0,,1.0,,,,,,1.0,,,,,37.734941,-122.17371100000001
292738,2006.0,,,,,,,,,,,1.0,,37.740035999999996,-122.173763
292739,2006.0,,,,,,,,,,,1.0,,37.740035999999996,-122.173763
292740,2006.0,,,,,,,,,,,1.0,,37.742129999999996,-122.16928
292741,2006.0,,,,,,,,,,,1.0,,37.737897,-122.165668
292742,2006.0,,1.0,,,,,,1.0,,,,,37.744611,-122.15116100000002
292743,2006.0,,,,,,,,,,,1.0,,37.76039,-122.19796000000001
292744,2006.0,,1.0,,,,,,1.0,,,,,37.760560999999996,-122.212057
292745,2006.0,,1.0,,,,,,1.0,,,,,37.760560999999996,-122.212057
292746,2006.0,,1.0,,,,,,1.0,,,,,37.76392,-122.198159
292747,2006.0,,1.0,,,,,,1.0,,,,,37.744827,-122.168298
292749,2006.0,1.0,,,1.0,,1.0,,,,,,,37.753009999999996,-122.174644
292750,2006.0,,,,,,,,,,,1.0,,37.752705,-122.166169
292751,2006.0,1.0,,,1.0,,,,,,,,,37.752705,-122.166169
292753,2006.0,,,,,,,,,,,1.0,,37.759032,-122.189669
292754,2006.0,,,,,,,,,,,1.0,,37.760670000000005,-122.19102
292756,2006.0,,1.0,,,,,1.0,,,,,,37.762169,-122.167875
292758,2006.0,,,,,,,,,,,1.0,,37.764575,-122.174848
292759,2006.0,,,,,,,,,,1.0,,,37.766907,-122.18848
292760,2006.0,1.0,,,1.0,,1.0,,,,,,,37.767558,-122.16941100000001
292761,2006.0,,,,,,,,,,,1.0,,37.771462,-122.218764
292762,2006.0,,1.0,,,,,,1.0,,,,,37.773759999999996,-122.21791
292763,2006.0,,1.0,,,,,,1.0,,,,,37.774614,-122.20288000000001
292764,2006.0,,1.0,,,,,,1.0,,,,,37.775514,-122.208114
292765,2006.0,,,,,,,,,,,1.0,,37.777429999999995,-122.22578
292766,2006.0,,1.0,,,,,,,,,,,37.778584,-122.206134
292767,2006.0,,1.0,,,,,,1.0,,,,,37.781465999999995,-122.22386499999999
292768,2006.0,1.0,,,,1.0,,,,,,,,37.783375,-122.22088400000001
292769,2006.0,,1.0,,,,,1.0,,,,,,37.785340999999995,-122.204518
292770,2006.0,1.0,,,,1.0,,,,,,,,37.789215999999996,-122.20181000000001
292771,2006.0,,,,,,,,,,,1.0,,37.768763,-122.19431499999999
292772,2006.0,,1.0,,,,,,1.0,,,,,37.775202,-122.192862
292773,2006.0,,1.0,,,,,,1.0,,,,,37.77598,-122.181104
292774,2006.0,,1.0,,,,,,1.0,,,,,37.78413,-122.18088
292775,2006.0,,1.0,,,,,,1.0,,,,,37.790932,-122.1931
292776,2006.0,,1.0,,,,,,1.0,,,,,37.751867,-122.15822299999999
292777,2006.0,,1.0,,,,,,1.0,,,,,37.762698,-122.16481200000001
292778,2006.0,,1.0,,,,,,1.0,,,,,37.773651,-122.13891699999999
292779,2006.0,,1.0,,,,,,,,,,,37.792398,-122.244194
292780,2006.0,,1.0,,,,,,1.0,,,,,37.791859,-122.25323999999999
292781,2006.0,,1.0,,,,,1.0,,,,,,37.795066999999996,-122.234766
292782,2006.0,,1.0,,,,,,,,,,,37.796818,-122.23247099999999
292785,2006.0,1.0,,,1.0,,,,,,,,,37.799276,-122.239678
292787,2006.0,1.0,,,1.0,,,,,,,,,37.799276,-122.239678
292789,2006.0,,,,,,,,,,,1.0,,37.803179,-122.27908300000001
292792,2006.0,,1.0,,,,,1.0,,,,,,37.805045,-122.23592
292793,2006.0,,1.0,,,,,,,,,,,37.806059999999995,-122.2481
292794,2006.0,1.0,,,1.0,,1.0,,,,,,,37.809664,-122.29313700000002
292795,2006.0,,1.0,,,,,,1.0,,,,,37.811673,-122.253743
292796,2006.0,1.0,,,1.0,,,,,,,,,37.812943,-122.29651799999999
