YEAROCC,Violence,Property,Homicide,Assaults,Robbery,Shootings,Burglary,MV Theft,Rape,Weapons,Drugs,Sex,y,x
2009.0,,1.0,,,,,,,,,,,37.831659,-122.250327
2009.0,,1.0,,,,,,,,,,,37.740633,-122.153622
2009.0,,1.0,,,,,,,,,,,37.784672,-122.23338899999999
2009.0,,1.0,,,,,,,,,,,37.739136,-122.156704
2009.0,,1.0,,,,,,,,,,,37.744137,-122.149818
2009.0,,1.0,,,,,,,,,,,37.785043,-122.225125
2009.0,,1.0,,,,,,,,,,,,
2009.0,,1.0,,,,,,,,,,,,
2009.0,,1.0,,,,,,,,,,,37.803958,-122.26997
2009.0,,1.0,,,,,,,,,,,37.803389,-122.26738700000001
2009.0,,1.0,,,,,,,,,,,37.796043,-122.278617
2009.0,,1.0,,,,,,,,,,,37.82977,-122.270169
2009.0,,1.0,,,,,,,,,,,37.769304999999996,-122.161101
2009.0,,1.0,,,,,,,,,,,37.800075,-122.28325900000002
2009.0,,1.0,,,,,,,,,,,37.793571,-122.19528500000001
2009.0,,1.0,,,,,,,,,,,37.71582,-122.209488
2009.0,,1.0,,,,,,,,,,,37.803653999999995,-122.295879
2009.0,,1.0,,,,,,,,,,,37.829015000000005,-122.27433
2009.0,,1.0,,,,,,,,,,,37.745,-122.156178
2009.0,,1.0,,,,,,,,,,,37.772412,-122.16619399999999
2009.0,,,,,,,,,,,,1.0,37.770922,-122.211032
2009.0,,1.0,,,,,1.0,,,,,,37.796251,-122.19146
2009.0,,1.0,,,,,,1.0,,,,,37.815894,-122.28325500000001
2009.0,,1.0,,,,,,1.0,,,,,37.78501,-122.207718
2009.0,,1.0,,,,,,1.0,,,,,37.814089,-122.25399099999998
2009.0,,1.0,,,,,,1.0,,,,,37.77163,-122.19572099999999
2009.0,,1.0,,,,,,1.0,,,,,37.822934000000004,-122.188845
2009.0,,1.0,,,,,,1.0,,,,,37.811408,-122.265405
2009.0,,1.0,,,,,,1.0,,,,,37.747553,-122.196228
2009.0,,1.0,,,,,,,,,,,37.768569,-122.17858400000001
2009.0,,,,,,,,,,,1.0,,,
2009.0,,,,,,,,,,1.0,,,,
2009.0,1.0,,,1.0,,,,,,,,,,
2009.0,1.0,,,1.0,,,,,,,,,,
2009.0,1.0,,,1.0,,,,,,,,,,
2009.0,1.0,,,1.0,,,,,,,,,,
2009.0,1.0,,,1.0,,,,,,,,,,
2009.0,1.0,,,1.0,,,,,,,,,,
2009.0,,,,,,,,,,,,1.0,,
2009.0,1.0,,,1.0,,1.0,,,,,,,37.7849,-122.155
