,YEAROCC,Violence,Property,Homicide,Assaults,Robbery,Shootings,Burglary,MV Theft,Rape,Weapons,Drugs,Sex,y,x
211893,2008.0,,1.0,,,,,,,,,,,37.805279,-122.282977
211895,2008.0,,,,,,,,,,,1.0,,37.811875,-122.298942
211896,2008.0,,,,,,,,,,,1.0,,37.811428,-122.29654099999999
211897,2008.0,,,,,,,,,,1.0,,,37.811428,-122.29654099999999
211898,2008.0,,,,,,,,,,1.0,,,37.811428,-122.29654099999999
211899,2008.0,,,,,,,,,,1.0,,,37.811428,-122.29654099999999
211900,2008.0,1.0,,,1.0,,,,,,,,,37.805184999999994,-122.300726
211901,2008.0,1.0,,,,1.0,,,,,,,,37.806894,-122.275461
211902,2008.0,1.0,,,1.0,,,,,,,,,37.811332,-122.266878
211903,2008.0,,1.0,,,,,,,,,,,37.801888,-122.264274
211904,2008.0,,1.0,,,,,,,,,,,37.802122,-122.263254
211907,2008.0,,,,,,,,,,,1.0,,37.817757,-122.275558
211908,2008.0,,,,,,,,,,,1.0,,37.8154,-122.274825
211909,2008.0,,,,,,,,,,,1.0,,37.817757,-122.275558
211910,2008.0,,,,,,,,,,,1.0,,37.816088,-122.274542
211911,2008.0,1.0,,,1.0,,,,,,,,,37.821065999999995,-122.27338200000001
211913,2008.0,,,,,,,,,,,1.0,,37.814797999999996,-122.27504499999999
211915,2008.0,1.0,,,1.0,,,,,,,,,37.825671,-122.285201
211916,2008.0,,1.0,,,,,,1.0,,,,,37.826576,-122.28034
211917,2008.0,1.0,,,,1.0,,,,,,,,37.82056,-122.25933
211919,2008.0,1.0,,,1.0,,1.0,,,,,,,37.819274,-122.260608
211920,2008.0,,1.0,,,,,,,,,,,37.822044,-122.261847
211922,2008.0,,1.0,,,,,,,,,,,37.830052,-122.246808
211923,2008.0,,1.0,,,,,,,,,,,37.828602000000004,-122.255592
211924,2008.0,,,,,,,,,,,1.0,,37.843090999999994,-122.283672
211925,2008.0,1.0,,,1.0,,1.0,,,,,,,37.84355,-122.27831499999999
211927,2008.0,,1.0,,,,,1.0,,,,,,37.843213,-122.266475
211928,2008.0,,1.0,,,,,1.0,,,,,,37.849838,-122.263567
211929,2008.0,,1.0,,,,,,1.0,,,,,37.83794,-122.2633
211931,2008.0,,1.0,,,,,,,,,,,37.836927,-122.251205
211932,2008.0,,1.0,,,,,,,,,,,37.846678000000004,-122.25161200000001
211933,2008.0,,1.0,,,,,,,,,,,37.84084,-122.23640900000001
211934,2008.0,,1.0,,,,,,,,,,,37.843847,-122.244501
211935,2008.0,,1.0,,,,,,,,,,,37.812721,-122.2526
211936,2008.0,,1.0,,,,,,1.0,,,,,37.813008,-122.257225
211937,2008.0,,1.0,,,,,,1.0,,,,,37.811397,-122.246951
211938,2008.0,,1.0,,,,,,1.0,,,,,37.799907,-122.221457
211939,2008.0,,,,,,,,,,,1.0,,37.794166,-122.24830700000001
211940,2008.0,,1.0,,,,,,1.0,,,,,37.796233,-122.239842
211941,2008.0,,1.0,,,,,,1.0,,,,,37.796665000000004,-122.233121
211942,2008.0,,1.0,,,,,,1.0,,,,,37.798662,-122.240435
211943,2008.0,,1.0,,,,,1.0,,,,,,37.786105,-122.24055600000001
211944,2008.0,1.0,,,1.0,,,,,,,,,37.783333,-122.233575
211945,2008.0,,1.0,,,,,,,,,,,37.787024,-122.22638899999998
