,YEAROCC,Violence,Property,Homicide,Assaults,Robbery,Shootings,Burglary,MV Theft,Rape,Weapons,Drugs,Sex,y,x
13,2011.0,,,,,,,,,,,1.0,,37.781062,-122.234426
14,2011.0,,,,,,,,,,,1.0,,37.78734,-122.194801
15,2011.0,1.0,,,,1.0,,,,,,,,37.771443,-122.21283100000001
21,2011.0,1.0,,,1.0,,,,,,,,,37.771443,-122.21283100000001
24,2011.0,,1.0,,,,,,,,,,,37.804759999999995,-122.26238899999998
25,2011.0,,1.0,,,,,1.0,,,,,,37.797683,-122.22615900000001
43,2011.0,,,,,,,,,,,1.0,,37.823696999999996,-122.281723
44,2011.0,,,,,,,,,,,1.0,,37.813408,-122.298143
45,2011.0,,,,,,,,,,,1.0,,37.778834,-122.22513500000001
46,2011.0,,,,,,,,,,,1.0,,37.778834,-122.22513500000001
51,2011.0,,,,,,,,,,1.0,,,37.823696999999996,-122.281723
53,2011.0,,,,,,,,,,1.0,,,37.813408,-122.298143
54,2011.0,,,,,,,,,,1.0,,,37.813408,-122.298143
57,2011.0,,,,,,,,,,1.0,,,37.813408,-122.298143
59,2011.0,1.0,,,,1.0,,,,,,,,37.816984999999995,-122.263194
60,2011.0,1.0,,,,1.0,,,,,,,,37.806897,-122.275028
61,2011.0,1.0,,,,1.0,,,,,,,,37.736701000000004,-122.170217
62,2011.0,1.0,,,,1.0,,,,,,,,37.805240000000005,-122.266147
63,2011.0,1.0,,,,1.0,,,,,,,,37.804621999999995,-122.27738500000001
64,2011.0,1.0,,,,1.0,,,,,,,,37.843861,-122.274898
65,2011.0,1.0,,,,1.0,,,,,,,,37.809944,-122.26673400000001
66,2011.0,1.0,,,,1.0,,,,,,,,37.760021,-122.176332
67,2011.0,1.0,,,,1.0,,,,,,,,37.769701,-122.19651599999999
78,2011.0,1.0,,,1.0,,,,,,,,,37.808402,-122.296221
87,2011.0,1.0,,,1.0,,,,,,,,,37.798095,-122.270526
88,2011.0,1.0,,,1.0,,,,,,,,,37.736701000000004,-122.170217
89,2011.0,1.0,,,1.0,,,,,,,,,37.784684000000006,-122.22468700000002
90,2011.0,1.0,,,1.0,,1.0,,,,,,,37.743113,-122.17078300000001
91,2011.0,1.0,,,1.0,,1.0,,,,,,,37.850618,-122.261256
92,2011.0,1.0,,,1.0,,1.0,,,,,,,37.74088,-122.194802
93,2011.0,1.0,,,1.0,,1.0,,,,,,,37.762934,-122.220409
94,2011.0,1.0,,,1.0,,1.0,,,,,,,37.792749,-122.21501299999998
95,2011.0,1.0,,,1.0,,1.0,,,,,,,37.769641,-122.18216299999999
96,2011.0,1.0,,,1.0,,1.0,,,,,,,37.804489000000004,-122.247615
110,2011.0,,1.0,,,,,,,,,,,37.765246000000005,-122.197892
111,2011.0,,1.0,,,,,,,,,,,37.728331,-122.172307
113,2011.0,,1.0,,,,,1.0,,,,,,37.845512,-122.24666699999999
114,2011.0,,1.0,,,,,1.0,,,,,,37.790852,-122.21582099999999
115,2011.0,,1.0,,,,,1.0,,,,,,37.730643,-122.18186899999999
116,2011.0,,1.0,,,,,,,,,,,37.802747,-122.268828
117,2011.0,,1.0,,,,,1.0,,,,,,37.78536,-122.189849
118,2011.0,,1.0,,,,,1.0,,,,,,37.770765999999995,-122.17333899999998
119,2011.0,,1.0,,,,,1.0,,,,,,37.774736,-122.184207
120,2011.0,,1.0,,,,,1.0,,,,,,37.786865,-122.218166
121,2011.0,,1.0,,,,,1.0,,,,,,37.786208,-122.190881
122,2011.0,,1.0,,,,,1.0,,,,,,37.830061,-122.268279
123,2011.0,,1.0,,,,,1.0,,,,,,37.763647,-122.17974299999999
124,2011.0,,1.0,,,,,,,,,,,37.804621999999995,-122.27738500000001
125,2011.0,,1.0,,,,,1.0,,,,,,37.804621999999995,-122.27738500000001
126,2011.0,,1.0,,,,,1.0,,,,,,37.787261,-122.24878000000001
127,2011.0,,1.0,,,,,,,,,,,37.844055,-122.258347
128,2011.0,,1.0,,,,,1.0,,,,,,37.80421,-122.230112
129,2011.0,,1.0,,,,,1.0,,,,,,37.83984,-122.280072
130,2011.0,,1.0,,,,,1.0,,,,,,37.847631,-122.26494299999999
131,2011.0,,1.0,,,,,,,,,,,37.807534999999994,-122.249502
132,2011.0,,1.0,,,,,,,,,,,37.80341,-122.221002
133,2011.0,,1.0,,,,,,,,,,,37.811815,-122.19816499999999
134,2011.0,,1.0,,,,,,,,,,,37.797829,-122.203826
135,2011.0,,1.0,,,,,,,,,,,37.850556,-122.23736299999999
137,2011.0,,1.0,,,,,,,,,,,37.825377,-122.26545700000001
138,2011.0,,1.0,,,,,,,,,,,37.771884,-122.16573999999999
139,2011.0,,1.0,,,,,,,,,,,37.827827,-122.288556
141,2011.0,,1.0,,,,,,,,,,,37.799510999999995,-122.27436100000001
142,2011.0,,1.0,,,,,,,,,,,37.737852000000004,-122.19923600000001
145,2011.0,,1.0,,,,,,,,,,,37.7959,-122.251869
146,2011.0,,1.0,,,,,,,,,,,37.785559,-122.204187
147,2011.0,,1.0,,,,,,,,,,,37.762634999999996,-122.19498
148,2011.0,,1.0,,,,,,,,,,,37.819674,-122.27089
164,2011.0,,1.0,,,,,,1.0,,,,,37.797346999999995,-122.24228500000001
170,2011.0,,1.0,,,,,,1.0,,,,,37.751713,-122.184772
171,2011.0,,1.0,,,,,,1.0,,,,,37.766109,-122.207495
172,2011.0,,1.0,,,,,,1.0,,,,,37.747107,-122.156675
173,2011.0,,1.0,,,,,,1.0,,,,,37.756004,-122.19256899999999
174,2011.0,,1.0,,,,,,1.0,,,,,37.800266,-122.251337
175,2011.0,,1.0,,,,,,1.0,,,,,37.829976,-122.2693
176,2011.0,,1.0,,,,,,1.0,,,,,37.810446999999996,-122.26974799999999
177,2011.0,,1.0,,,,,,1.0,,,,,37.791434,-122.205701
178,2011.0,,1.0,,,,,,1.0,,,,,37.794881,-122.245205
179,2011.0,,1.0,,,,,,1.0,,,,,37.844645,-122.25719
180,2011.0,,1.0,,,,,,1.0,,,,,37.763915000000004,-122.20085900000001
181,2011.0,,1.0,,,,,,1.0,,,,,37.777015999999996,-122.19481299999998
182,2011.0,,1.0,,,,,,1.0,,,,,37.829736,-122.25573100000001
183,2011.0,,1.0,,,,,,1.0,,,,,37.795159999999996,-122.21701999999999
193,2011.0,,1.0,,,,,,,,,,,37.734341,-122.19783600000001
197,2011.0,,,,,,,,,,1.0,,,37.748521999999994,-122.174003
198,2011.0,,,,,,,,,,1.0,,,37.748521999999994,-122.174003
199,2011.0,,,,,,,,,,1.0,,,37.748521999999994,-122.174003
200,2011.0,,,,,,,,,,1.0,,,37.748521999999994,-122.174003
201,2011.0,,,,,,,,,,1.0,,,37.748521999999994,-122.174003
202,2011.0,,,,,,,,,,1.0,,,37.748521999999994,-122.174003
203,2011.0,1.0,,1.0,,,,,,,,,,37.767406,-122.203699
209,2011.0,1.0,,,1.0,,1.0,,,,,,,37.802759,-122.282924
210,2011.0,,1.0,,,,,,,,,,,37.749082,-122.17068
211,2011.0,,1.0,,,,,,,,,,,37.798307,-122.264599
213,2011.0,,1.0,,,,,,1.0,,,,,37.74537,-122.1682
215,2011.0,,1.0,,,,,,1.0,,,,,37.779767,-122.22601599999999
225,2011.0,,,,,,,,,,,1.0,,37.773401,-122.229849
226,2011.0,,,,,,,,,,,1.0,,37.77234,-122.21475900000002
227,2011.0,,,,,,,,,,,1.0,,37.760385,-122.18948799999998
228,2011.0,,,,,,,,,,,1.0,,37.752177,-122.16796000000001
229,2011.0,,,,,,,,,,,1.0,,37.744296000000006,-122.169948
230,2011.0,,,,,,,,,,,1.0,,37.773401,-122.229849
231,2011.0,,,,,,,,,,,1.0,,37.752177,-122.16796000000001
244,2011.0,1.0,,,,1.0,,,,,,,,37.829515,-122.264784
245,2011.0,1.0,,,,1.0,,,,,,,,37.792398,-122.199327
265,2011.0,1.0,,,1.0,,,,,,,,,37.759174,-122.185787
266,2011.0,1.0,,,1.0,,,,,,,,,37.750492,-122.17503799999999
267,2011.0,1.0,,,1.0,,,,,,,,,37.845341,-122.27136499999999
268,2011.0,1.0,,,1.0,,,,,,,,,37.815008,-122.26826899999999
269,2011.0,1.0,,,1.0,,,,,,,,,37.737852000000004,-122.19923600000001
270,2011.0,1.0,,,1.0,,1.0,,,,,,,37.763861999999996,-122.16253400000001
271,2011.0,1.0,,,1.0,,1.0,,,,,,,37.792398,-122.199327
272,2011.0,1.0,,,1.0,,1.0,,,,,,,37.744172,-122.174873
273,2011.0,1.0,,,1.0,,1.0,,,,,,,37.805774,-122.272549
274,2011.0,1.0,,,1.0,,1.0,,,,,,,37.803812,-122.270031
279,2011.0,1.0,,,1.0,,,,,,,,,37.805774,-122.272549
286,2011.0,,1.0,,,,,1.0,,,,,,37.778539,-122.222131
287,2011.0,,1.0,,,,,1.0,,,,,,37.768183,-122.22241799999999
288,2011.0,,1.0,,,,,1.0,,,,,,37.762147,-122.157327
289,2011.0,,1.0,,,,,1.0,,,,,,37.791849,-122.217875
290,2011.0,,1.0,,,,,1.0,,,,,,37.757778,-122.173803
291,2011.0,,1.0,,,,,1.0,,,,,,37.79779,-122.24241699999999
292,2011.0,,1.0,,,,,1.0,,,,,,37.770278999999995,-122.170078
293,2011.0,,1.0,,,,,1.0,,,,,,37.751739,-122.168908
294,2011.0,,1.0,,,,,1.0,,,,,,37.748692,-122.196124
295,2011.0,,1.0,,,,,1.0,,,,,,37.81373,-122.284853
296,2011.0,,1.0,,,,,1.0,,,,,,37.774327,-122.180319
297,2011.0,,1.0,,,,,1.0,,,,,,37.808305,-122.25272700000001
298,2011.0,,1.0,,,,,,,,,,,37.808240999999995,-122.23676999999999
299,2011.0,,1.0,,,,,,,,,,,37.802232000000004,-122.26803100000001
300,2011.0,,1.0,,,,,,,,,,,37.807807000000004,-122.258742
301,2011.0,,1.0,,,,,,,,,,,37.789986,-122.18556699999999
302,2011.0,,1.0,,,,,1.0,,,,,,37.840852000000005,-122.227856
303,2011.0,,1.0,,,,,1.0,,,,,,37.842031,-122.27553200000001
304,2011.0,,1.0,,,,,1.0,,,,,,37.832584000000004,-122.250153
305,2011.0,,1.0,,,,,,,,,,,37.809385999999996,-122.18612399999999
306,2011.0,,1.0,,,,,1.0,,,,,,37.846996000000004,-122.258878
307,2011.0,,1.0,,,,,,,,,,,37.811683,-122.25725
308,2011.0,,1.0,,,,,,,,,,,37.768153000000005,-122.17933899999998
309,2011.0,,1.0,,,,,,,,,,,37.811408,-122.265405
310,2011.0,,1.0,,,,,,,,,,,37.797868,-122.25326399999999
311,2011.0,,1.0,,,,,,,,,,,37.802951,-122.27204099999999
312,2011.0,,1.0,,,,,,,,,,,37.789986,-122.18556699999999
313,2011.0,,1.0,,,,,,,,,,,37.805991999999996,-122.22886799999999
314,2011.0,,1.0,,,,,,,,,,,37.815008,-122.26826899999999
315,2011.0,,1.0,,,,,,,,,,,37.729501,-122.19408200000001
316,2011.0,,1.0,,,,,,,,,,,37.757001,-122.16458600000001
319,2011.0,,1.0,,,,,,,,,,,37.768183,-122.22241799999999
320,2011.0,,1.0,,,,,,,,,,,37.77298,-122.218724
321,2011.0,,1.0,,,,,,,,,,,37.809247,-122.267743
322,2011.0,,1.0,,,,,,,,,,,37.786829,-122.20868899999999
323,2011.0,,1.0,,,,,,,,,,,37.799802,-122.217652
324,2011.0,,1.0,,,,,,,,,,,37.772349,-122.21484699999999
325,2011.0,,1.0,,,,,,,,,,,37.766617,-122.167718
339,2011.0,,1.0,,,,,,,,,,,37.763635,-122.186176
346,2011.0,,1.0,,,,,,1.0,,,,,37.792712,-122.20245200000001
349,2011.0,,1.0,,,,,,1.0,,,,,37.766617,-122.167718
351,2011.0,,1.0,,,,,,1.0,,,,,37.73859,-122.167475
352,2011.0,,1.0,,,,,,1.0,,,,,37.797598,-122.21234399999999
