YEAROCC,Violence,Property,Homicide,Assaults,Robbery,Shootings,Burglary,MV Theft,Rape,Weapons,Drugs,Sex,y,x
2010.0,1.0,,,,1.0,,,,,,,,37.836894,-122.262447
2010.0,1.0,,,1.0,,,,,,,,,37.771347,-122.176025
2010.0,1.0,,,1.0,,1.0,,,,,,,37.750513,-122.16295900000001
2010.0,,1.0,,,,,1.0,,,,,,37.810976000000004,-122.29463899999999
2010.0,,1.0,,,,,,,,,,,37.787778,-122.193932
2010.0,,1.0,,,,,,,,,,,37.813393,-122.265511
2010.0,,1.0,,,,,,,,,,,37.741576,-122.206347
2010.0,,1.0,,,,,,,,,,,37.803209,-122.274879
2010.0,,1.0,,,,,,,,,,,37.846684,-122.26884299999999
2010.0,,1.0,,,,,,,,,,,37.810139,-122.24875300000001
2010.0,,1.0,,,,,,,,,,,37.860051,-122.24421000000001
2010.0,,1.0,,,,,,,,,,,37.824929,-122.28019499999999
2010.0,,1.0,,,,,,1.0,,,,,37.777838,-122.221911
2010.0,,1.0,,,,,,1.0,,,,,37.825465,-122.27768799999998
2010.0,,1.0,,,,,,1.0,,,,,37.841606,-122.274266
2010.0,,1.0,,,,,,1.0,,,,,37.751799,-122.181929
2010.0,,,,,,,,,,1.0,,,37.752309999999994,-122.15650600000001
2010.0,,1.0,,,,,,1.0,,,,,37.765605,-122.186625
2010.0,,1.0,,,,,,1.0,,,,,37.765605,-122.186625
2010.0,,1.0,,,,,,1.0,,,,,37.797588,-122.229693
2010.0,,1.0,,,,,,1.0,,,,,37.797588,-122.229693
2010.0,1.0,,,,1.0,,,,,,,,37.77234,-122.21475900000002
2010.0,1.0,,,1.0,,1.0,,,,,,,37.744397,-122.154393
2010.0,,1.0,,,,,,1.0,,,,,37.797637,-122.21696499999999
2010.0,,,,,,,,,,,1.0,,37.824422999999996,-122.27056999999999
2010.0,,,,,,,,,,,1.0,,37.789813,-122.237796
2010.0,1.0,,,1.0,,1.0,,,,,,,37.806626,-122.28719099999999
2010.0,1.0,,1.0,,,,,,,,,,37.763636,-122.17868500000002
2010.0,1.0,,,1.0,,1.0,,,,,,,37.763636,-122.17868500000002
2010.0,1.0,,,1.0,,1.0,,,,,,,37.763636,-122.17868500000002
2010.0,,,,,,,,,,,1.0,,37.760797,-122.170872
2010.0,,,,,,,,,,,1.0,,37.805302000000005,-122.292367
2010.0,,,,,,,,,,,1.0,,37.805302000000005,-122.292367
2010.0,1.0,,,,1.0,,,,,,,,37.778878999999996,-122.22786200000002
2010.0,,,,,,,,,,,1.0,,37.814263000000004,-122.278031
2010.0,1.0,,,1.0,,1.0,,,,,,,37.742612,-122.19395300000001
2010.0,1.0,,,,1.0,,,,,,,,37.78958,-122.22063500000002
2010.0,,1.0,,,,,,1.0,,,,,37.7617,-122.19678700000001
2010.0,,1.0,,,,,1.0,,,,,,37.794761,-122.193972
2010.0,,1.0,,,,,1.0,,,,,,37.747803000000005,-122.18652
2010.0,,1.0,,,,,,1.0,,,,,37.777638,-122.19169699999999
2010.0,,1.0,,,,,,,,,,,37.800327,-122.21508999999999
2010.0,,1.0,,,,,,1.0,,,,,37.812339,-122.25509299999999
2010.0,,1.0,,,,,,1.0,,,,,37.797740999999995,-122.25098899999999
2010.0,,1.0,,,,,1.0,,,,,,37.78634,-122.20498
2010.0,,1.0,,,,,,1.0,,,,,37.799908,-122.27211899999999
2010.0,,1.0,,,,,,,,,,,37.813664,-122.28526699999999
2010.0,,1.0,,,,,1.0,,,,,,37.770499,-122.20836000000001
2010.0,,1.0,,,,,,1.0,,,,,37.779742999999996,-122.203704
2010.0,,1.0,,,,,1.0,,,,,,37.746824,-122.169976
2010.0,,1.0,,,,,1.0,,,,,,37.807767999999996,-122.298973
2010.0,,1.0,,,,,1.0,,,,,,37.758664,-122.166716
2010.0,,1.0,,,,,,,,,,,37.771288,-122.150604
2010.0,,1.0,,,,,,1.0,,,,,37.80233,-122.23879199999999
2010.0,,1.0,,,,,,,,,,,37.84146,-122.28451100000001
2010.0,,1.0,,,,,,1.0,,,,,37.779151,-122.20023799999998
2010.0,,,,,,,,,,,1.0,,37.744614,-122.18184
2010.0,1.0,,,,1.0,,,,,,,,37.800385999999996,-122.216105
2010.0,,1.0,,,,,,,,,,,37.827753,-122.20975700000001
2010.0,,1.0,,,,,,,,,,,37.831083,-122.27070400000001
2010.0,,,,,,,,,,,,1.0,37.782505,-122.23436000000001
2010.0,,,,,,,,,,,,1.0,37.782505,-122.23436000000001
2010.0,1.0,,,1.0,,1.0,,,,,,,37.749641,-122.161555
2010.0,,1.0,,,,,,,,,,,37.808883,-122.251342
2010.0,,1.0,,,,,,,,,,,37.80939,-122.24973
2010.0,,1.0,,,,,,,,,,,37.802341999999996,-122.276969
2010.0,,1.0,,,,,,,,,,,37.748455,-122.19722800000001
2010.0,,1.0,,,,,,,,,,,37.756727000000005,-122.197149
2010.0,,1.0,,,,,,,,,,,37.813508,-122.197526
2010.0,,1.0,,,,,1.0,,,,,,37.79642,-122.250927
2010.0,,1.0,,,,,,,,,,,37.773205,-122.232717
2010.0,,1.0,,,,,1.0,,,,,,37.827524,-122.260775
2010.0,,1.0,,,,,,,,,,,37.758588,-122.18296699999999
2010.0,,1.0,,,,,,,,,,,37.778195000000004,-122.207306
2010.0,,1.0,,,,,,,,,,,37.780708000000004,-122.19456000000001
2010.0,,1.0,,,,,,,,,,,37.790327000000005,-122.20818500000001
2010.0,,1.0,,,,,,,,,,,37.860051,-122.24421000000001
2010.0,,1.0,,,,,,,,,,,37.805759,-122.271047
2010.0,1.0,,,1.0,,1.0,,,,,,,37.750513,-122.16295900000001
2010.0,,1.0,,,,,,,,,,,37.841861,-122.26643899999999
2010.0,,1.0,,,,,,1.0,,,,,37.78917,-122.24778500000001
2010.0,,1.0,,,,,,1.0,,,,,37.796724,-122.231123
2010.0,,1.0,,,,,,1.0,,,,,37.796724,-122.231123
2010.0,,1.0,,,,,,1.0,,,,,37.818615,-122.260948
2010.0,,1.0,,,,,,1.0,,,,,37.804612,-122.25040600000001
2010.0,,1.0,,,,,,,,,,,37.837596000000005,-122.277707
2010.0,1.0,,,,1.0,,,,,,,,37.744296000000006,-122.169948
2010.0,1.0,,,,1.0,,,,,,,,37.787713000000004,-122.19468400000001
2010.0,1.0,,,,1.0,,,,,,,,37.796477,-122.239728
2010.0,,1.0,,,,,,,,,,,37.81428,-122.272255
2010.0,,1.0,,,,,1.0,,,,,,37.782881,-122.20433100000001
2010.0,,,,,,,,,,,,1.0,37.781718,-122.23418000000001
2010.0,,,,,,,,,,,,1.0,37.781718,-122.23418000000001
2010.0,,,,,,,,,,,,1.0,37.782394000000004,-122.235289
2010.0,,,,,,,,,,,,1.0,37.782394000000004,-122.235289
2010.0,,,,,,,,,,,,1.0,37.787222,-122.241671
2010.0,,1.0,,,,,1.0,,,,,,37.773346000000004,-122.195254
2010.0,,,,,,,,,,,,1.0,37.783522,-122.23451100000001
2010.0,,,,,,,,,,,,1.0,37.783522,-122.23451100000001
2010.0,1.0,,,,1.0,,,,,,,,37.78536,-122.189849
2010.0,,,,,,,,,,,,1.0,37.783522,-122.23451100000001
2010.0,,,,,,,,,,,,1.0,37.783522,-122.23451100000001
2010.0,,,,,,,,,,,,1.0,37.780848,-122.23102
2010.0,,,,,,,,,,,,1.0,37.780848,-122.23102
2010.0,,,,,,,,,,,,1.0,37.786483000000004,-122.24095600000001
2010.0,,1.0,,,,,1.0,,,,,,37.75785,-122.167673
2010.0,,1.0,,,,,,,,,,,37.773382,-122.21236
2010.0,,,,,,,,,,,,1.0,37.780609999999996,-122.226496
2010.0,,,,,,,,,,,,1.0,37.780609999999996,-122.226496
2010.0,,1.0,,,,,1.0,,,,,,37.843486999999996,-122.27863300000001
