,YEAROCC,Violence,Property,Homicide,Assaults,Robbery,Shootings,Burglary,MV Theft,Rape,Weapons,Drugs,Sex,y,x
370166,2004.0,,1.0,,,,,,,,,,,37.786512,-122.23171599999999
370167,2004.0,,1.0,,,,,,1.0,,,,,37.786275,-122.239515
370168,2004.0,,1.0,,,,,1.0,,,,,,37.78829,-122.2439
370169,2004.0,1.0,,,1.0,,1.0,,,,,,,37.791,-122.24361
370170,2004.0,,1.0,,,,,,,,,,,37.732392,-122.19171599999999
370171,2004.0,,1.0,,,,,1.0,,,,,,37.733883,-122.184152
370172,2004.0,,1.0,,,,,1.0,,,,,,37.734753999999995,-122.188948
370173,2004.0,,1.0,,,,,,1.0,,,,,37.73825,-122.168772
370174,2004.0,,1.0,,,,,1.0,,,,,,37.740235,-122.164829
370175,2004.0,,1.0,,,,,,1.0,,,,,37.764781,-122.200414
370176,2004.0,,1.0,,,,,,1.0,,,,,37.766593,-122.22181299999998
370177,2004.0,,1.0,,,,,,1.0,,,,,37.747799,-122.18452099999999
370178,2004.0,,1.0,,,,,,1.0,,,,,37.75022,-122.181524
370179,2004.0,,1.0,,,,,,1.0,,,,,37.755103999999996,-122.194774
370180,2004.0,,1.0,,,,,1.0,,,,,,37.758525,-122.183066
370181,2004.0,1.0,,,,1.0,,,,,,,,37.760456,-122.189378
370182,2004.0,,1.0,,,,,1.0,,,,,,37.762246999999995,-122.166963
370183,2004.0,1.0,,,,1.0,,,,,,,,37.76404,-122.174304
370185,2004.0,,1.0,,,,,1.0,,,,,,37.766178000000004,-122.183163
370187,2004.0,,1.0,,,,,,,,,,,37.768437,-122.22241799999999
370188,2004.0,,1.0,,,,,1.0,,,,,,37.76947,-122.20931999999999
370189,2004.0,,1.0,,,,,,,,,,,37.772389000000004,-122.217979
370190,2004.0,1.0,,,,1.0,,,,,,,,37.7751,-122.22065
370191,2004.0,,1.0,,,,,,1.0,,,,,37.775769,-122.20813500000001
370192,2004.0,,1.0,,,,,1.0,,,,,,37.78307,-122.21412
370193,2004.0,,1.0,,,,,,1.0,,,,,37.784786,-122.21338
370195,2004.0,,1.0,,,,,,1.0,,,,,37.7725,-122.19138000000001
370196,2004.0,,1.0,,,,,,,,,,,37.773306,-122.174945
370197,2004.0,,1.0,,,,,,1.0,,,,,37.777763,-122.171536
370198,2004.0,,1.0,,,,,1.0,,,,,,37.777763,-122.171536
370199,2004.0,,1.0,,,,,,1.0,,,,,37.75008,-122.15968000000001
370200,2004.0,,1.0,,,,,,,,,,,37.761039000000004,-122.133429
370201,2004.0,,1.0,,,,,,1.0,,,,,37.769888,-122.159028
370202,2004.0,,1.0,,,,,,1.0,,,,,37.771977,-122.152025
370203,2004.0,,1.0,,,,,,,,,,,37.796013,-122.24401200000001
370204,2004.0,,1.0,,,,,1.0,,,,,,37.798913,-122.23772
370205,2004.0,1.0,,,1.0,,,,,,,,,37.799902,-122.27628500000002
370206,2004.0,1.0,,,1.0,,1.0,,,,,,,37.802107,-122.233376
370207,2004.0,,1.0,,,,,,,,,,,37.804486,-122.273331
370208,2004.0,,1.0,,,,,,1.0,,,,,37.807176,-122.272143
370209,2004.0,,1.0,,,,,,1.0,,,,,37.810914000000004,-122.29173899999999
370210,2004.0,1.0,,,,1.0,,,,,,,,37.81156,-122.28112
370211,2004.0,1.0,,,,1.0,,,,,,,,37.811495,-122.281168
370212,2004.0,,1.0,,,,,,,,,,,37.812259999999995,-122.27333999999999
370213,2004.0,,1.0,,,,,,1.0,,,,,37.81264,-122.25617
370214,2004.0,,1.0,,,,,1.0,,,,,,37.81255,-122.2718
370215,2004.0,,1.0,,,,,,1.0,,,,,37.816788,-122.25291000000001
370217,2004.0,,1.0,,,,,,1.0,,,,,37.81847,-122.257149
370218,2004.0,,1.0,,,,,,1.0,,,,,37.819599,-122.27491100000002
370219,2004.0,,1.0,,,,,1.0,,,,,,37.822345,-122.25061699999999
370220,2004.0,,1.0,,,,,1.0,,,,,,37.824329999999996,-122.28633
370222,2004.0,,1.0,,,,,,,,,,,37.826208,-122.252567
370223,2004.0,,1.0,,,,,1.0,,,,,,37.827657,-122.26983500000001
370224,2004.0,,1.0,,,,,,1.0,,,,,37.82799,-122.274608
370225,2004.0,,1.0,,,,,1.0,,,,,,37.829068,-122.262105
370226,2004.0,,1.0,,,,,,,,,,,37.832665000000006,-122.264867
370227,2004.0,,1.0,,,,,,,,,,,37.832665000000006,-122.264867
370228,2004.0,,1.0,,,,,1.0,,,,,,37.833635,-122.275535
370229,2004.0,1.0,,,1.0,,1.0,,,,,,,37.834188,-122.274431
370230,2004.0,,1.0,,,,,1.0,,,,,,37.834563,-122.261578
370231,2004.0,,1.0,,,,,,,,,,,37.837303999999996,-122.26195600000001
370232,2004.0,,1.0,,,,,1.0,,,,,,37.764835999999995,-122.209299
370233,2004.0,,1.0,,,,,,1.0,,,,,37.840095,-122.26284199999999
370234,2004.0,,1.0,,,,,,1.0,,,,,37.850120000000004,-122.285979
370235,2004.0,,1.0,,,,,,,,,,,37.79562,-122.20230600000001
370236,2004.0,,1.0,,,,,,1.0,,,,,37.797388,-122.215538
370237,2004.0,,1.0,,,,,1.0,,,,,,37.797809,-122.211525
370238,2004.0,,1.0,,,,,,,,,,,37.79829,-122.19510700000001
370239,2004.0,,1.0,,,,,,,,,,,37.799649,-122.20796100000001
370240,2004.0,,1.0,,,,,,1.0,,,,,37.801411,-122.209194
370241,2004.0,,1.0,,,,,,1.0,,,,,37.841042,-122.21268300000001
370242,2004.0,,1.0,,,,,,1.0,,,,,37.841133,-122.21255500000001
370243,2004.0,,1.0,,,,,1.0,,,,,,37.858721,-122.223599
370245,2004.0,,1.0,,,,,,,,,,,,
370252,2004.0,1.0,,,1.0,,,,,,,,,37.8202,-122.264
370256,2004.0,1.0,,,1.0,,,,,,,,,37.8055,-122.18799999999999
370257,2004.0,,1.0,,,,,1.0,,,,,,37.77393,-122.23293100000001
370258,2004.0,,1.0,,,,,1.0,,,,,,37.782636,-122.22886899999999
370259,2004.0,,1.0,,,,,1.0,,,,,,37.78201,-122.24298700000001
370260,2004.0,,1.0,,,,,,1.0,,,,,37.78755,-122.23911499999998
370261,2004.0,,1.0,,,,,,,,,,,37.789188,-122.238075
370262,2004.0,,1.0,,,,,1.0,,,,,,37.742612,-122.19395300000001
370263,2004.0,,1.0,,,,,,1.0,,,,,37.743095000000004,-122.17619099999999
370264,2004.0,,1.0,,,,,1.0,,,,,,37.7428,-122.18451999999999
370265,2004.0,,1.0,,,,,1.0,,,,,,37.741327000000005,-122.15148300000001
370266,2004.0,,1.0,,,,,,1.0,,,,,37.744083,-122.15173500000002
370267,2004.0,,1.0,,,,,,1.0,,,,,37.746748,-122.203542
